Messpunkt;Ist-Temp.;Heizkreislauf;Pumpenleistung
01.01.2010 00:00;50,96 °C;H3;732 l/min
01.01.2010 00:02;62,50 °C;H2;1.104 l/min
01.01.2010 00:04;53,06 °C;H2;400 l/min
01.01.2010 00:06;60,61 °C;H3;865 l/min
01.01.2010 00:08;65,14 °C;H2;936 l/min
01.01.2010 00:10;67,46 °C;H2;971 l/min
01.01.2010 00:12;55,38 °C;H2;624 l/min
01.01.2010 00:14;50,78 °C;H1;814 l/min
01.01.2010 00:16;53,28 °C;H2;775 l/min
01.01.2010 00:18;55,40 °C;H1;583 l/min
01.01.2010 00:20;64,92 °C;H2;665 l/min
01.01.2010 00:22;52,84 °C;H1;1.038 l/min
01.01.2010 00:24;62,18 °C;H1;955 l/min
01.01.2010 00:26;65,88 °C;H1;680 l/min
01.01.2010 00:28;66,05 °C;H3;349 l/min
01.01.2010 00:30;60,58 °C;H2;515 l/min
01.01.2010 00:32;53,87 °C;H1;654 l/min
01.01.2010 00:34;59,99 °C;H1;324 l/min
01.01.2010 00:36;56,46 °C;H1;806 l/min
01.01.2010 00:38;62,73 °C;H3;345 l/min
01.01.2010 00:40;69,98 °C;H3;1.038 l/min
01.01.2010 00:42;58,01 °C;H3;661 l/min
01.01.2010 00:44;66,55 °C;H3;383 l/min
01.01.2010 00:46;53,72 °C;H3;940 l/min
01.01.2010 00:48;69,05 °C;H2;558 l/min
01.01.2010 00:50;64,24 °C;H1;967 l/min
01.01.2010 00:52;66,92 °C;H3;1.128 l/min
01.01.2010 00:54;58,80 °C;H3;1.120 l/min
01.01.2010 00:56;63,43 °C;H1;559 l/min
01.01.2010 00:58;65,68 °C;H1;1.126 l/min
01.01.2010 01:00;56,22 °C;H1;352 l/min
01.01.2010 01:02;52,52 °C;H1;1.167 l/min
01.01.2010 01:04;60,39 °C;H1;683 l/min
01.01.2010 01:06;52,53 °C;H2;645 l/min
01.01.2010 01:08;64,08 °C;H3;877 l/min
01.01.2010 01:10;55,42 °C;H2;1.252 l/min
01.01.2010 01:12;52,76 °C;H3;979 l/min
01.01.2010 01:14;59,56 °C;H1;1.198 l/min
01.01.2010 01:16;67,89 °C;H2;1.181 l/min
01.01.2010 01:18;54,77 °C;H1;445 l/min
01.01.2010 01:20;64,87 °C;H3;1.103 l/min
01.01.2010 01:22;55,93 °C;H2;817 l/min
01.01.2010 01:24;56,91 °C;H3;697 l/min
01.01.2010 01:26;52,15 °C;H1;917 l/min
01.01.2010 01:28;50,24 °C;H2;540 l/min
01.01.2010 01:30;68,64 °C;H2;1.116 l/min
01.01.2010 01:32;50,11 °C;H1;1.071 l/min
01.01.2010 01:34;59,90 °C;H3;1.276 l/min
01.01.2010 01:36;57,43 °C;H3;1.232 l/min
01.01.2010 01:38;67,28 °C;H1;877 l/min
01.01.2010 01:40;62,48 °C;H2;335 l/min
01.01.2010 01:42;55,24 °C;H2;511 l/min
01.01.2010 01:44;52,19 °C;H2;575 l/min
01.01.2010 01:46;67,62 °C;H1;820 l/min
01.01.2010 01:48;52,70 °C;H1;534 l/min
01.01.2010 01:50;63,30 °C;H3;1.053 l/min
01.01.2010 01:52;69,74 °C;H3;771 l/min
01.01.2010 01:54;50,41 °C;H2;399 l/min
01.01.2010 01:56;68,35 °C;H3;952 l/min
01.01.2010 01:58;51,01 °C;H3;809 l/min
01.01.2010 02:00;64,43 °C;H1;964 l/min
01.01.2010 02:02;50,82 °C;H1;1.128 l/min
01.01.2010 02:04;67,37 °C;H1;1.096 l/min
01.01.2010 02:06;53,74 °C;H2;663 l/min
01.01.2010 02:08;63,98 °C;H2;1.207 l/min
01.01.2010 02:10;53,67 °C;H3;376 l/min
01.01.2010 02:12;63,62 °C;H1;620 l/min
01.01.2010 02:14;61,21 °C;H3;1.239 l/min
01.01.2010 02:16;55,39 °C;H3;887 l/min
01.01.2010 02:18;60,60 °C;H2;540 l/min
01.01.2010 02:20;58,25 °C;H2;911 l/min
01.01.2010 02:22;56,12 °C;H1;1.279 l/min
01.01.2010 02:24;55,86 °C;H1;384 l/min
01.01.2010 02:26;66,98 °C;H2;597 l/min
01.01.2010 02:28;62,67 °C;H2;334 l/min
01.01.2010 02:30;61,57 °C;H3;988 l/min
01.01.2010 02:32;59,60 °C;H3;442 l/min
